,City,Lat,Lng,Temperature,Humidity,Cloudiness,Wind Speed,Country
0,codrington,-38.2667,141.9667,10.79,68,100,4.54,AU
1,utiroa,,,,,,,
2,sept-iles,50.2001,-66.3821,8.92,77,100,5.36,CA
3,takoradi,4.8845,-1.7554,24.77,86,100,1.6,GH
4,zhicheng,30.2956,111.5047,30.8,48,1,2.04,CN
5,kavaratti,10.5669,72.642,27.52,80,100,8.02,IN
6,grindavik,63.8424,-22.4338,7.26,87,75,3.09,IS
7,chapais,49.7834,-74.8492,12.88,94,100,6.81,CA
8,comodoro rivadavia,-45.8667,-67.5,10.92,54,0,8.23,AR
9,esmeraldas,-19.7625,-44.3139,21.48,36,19,0.7,BR
10,saleaula,,,,,,,
11,ostersund,63.1792,14.6357,5.25,87,0,2.57,SE
12,pervomayskoye,43.919,46.7102,28.95,21,0,2.65,RU
13,lismore,-28.8135,153.2773,15.48,79,4,3.45,AU
14,aklavik,68.2191,-135.0107,8.72,68,100,0.95,CA
15,borba,-4.3878,-59.5939,22.51,85,1,0.32,BR
16,mehamn,71.0357,27.8492,5.95,73,100,1.64,NO
17,thompson,55.7435,-97.8558,7.35,72,92,2.31,CA
18,hearst,49.6835,-83.6665,8.35,99,66,2.23,CA
19,ngunguru,-35.6167,174.5,16.2,92,100,4.79,NZ
20,shelburne,44.0787,-80.2041,13.93,95,90,3.43,CA
21,saint andrews,34.0454,-81.1293,19.88,83,20,0.45,US
22,flin flon,54.7682,-101.865,8.82,71,59,2.69,CA
23,kruisfontein,-34.0033,24.7314,15.49,64,68,7.87,ZA
24,verkhnetulomskiy,68.6073,31.7962,5.07,72,100,2.27,RU
25,guerrero negro,27.9769,-114.0611,21.03,86,0,5.63,MX
26,axim,4.8699,-2.2405,24.98,86,100,1.44,GH
27,batemans bay,-35.7167,150.1833,12.17,79,74,2.47,AU
28,dunda,-8.1167,34.25,27.98,32,10,2.08,TZ
29,deputatskiy,69.3,139.9,8.82,65,95,1.49,RU
30,najran,17.4924,44.1277,33.19,11,100,5.8,SA
31,amapa,1,-52,20.54,99,24,0.54,BR
32,mehran,33.1222,46.1646,38.83,10,0,5.33,IR
33,doctor juan manuel frutos,-25.3667,-55.8,14.33,91,83,2.85,PY
34,brenham,30.1669,-96.3977,22.51,74,90,3.09,US
35,tautira,-17.7333,-149.15,24.01,72,34,7.39,PF
36,talas,38.6908,35.5538,19.37,64,75,2.06,TR
37,zrece,46.3822,15.3792,21.45,61,49,0.89,SI
38,new norfolk,-42.7826,147.0587,9.62,57,94,1.36,AU
39,camopi,3.1655,-52.3158,21.05,100,38,0.23,GF
40,barra,-11.0894,-43.1417,23.19,60,0,3.52,BR
41,ponca city,36.707,-97.0856,21.77,70,1,2.06,US
42,vila franca do campo,37.7167,-25.4333,17.23,79,22,1.76,PT
43,candelaria,13.9311,121.4233,31.33,72,90,2.14,PH
44,divnogorsk,55.9594,92.3619,11.27,92,100,1.18,RU
45,half moon bay,37.4636,-122.4286,13.98,90,90,0,US
46,aguadilla,18.4275,-67.1541,24.33,94,99,1.71,PR
47,beyneu,45.3167,55.2,30.07,11,3,5.28,KZ
48,kenai,60.5544,-151.2583,9.01,79,40,5.14,US
49,adrar,20.5022,-10.0711,31.88,26,9,7.55,MR
50,san quintin,30.4833,-115.95,20.35,80,0,3.99,MX
51,guajara-mirim,,,,,,,
52,shelabolikha,53.4131,82.6167,23.7,29,26,7.13,RU
53,rafaela,-31.2503,-61.4867,9,38,0,0.45,AR
54,atuona,-9.8,-139.0333,25.19,80,33,9.45,PF
55,omboue,-1.5746,9.2618,26.12,75,100,2.07,GA
56,peruibe,-24.32,-46.9983,23.54,77,100,1.71,BR
57,miyazu,35.5333,135.1833,21.78,73,71,3.8,JP
58,east london,-33.0153,27.9116,18.81,60,100,9.69,ZA
59,saint-joseph,-21.3667,55.6167,24.15,66,15,3.13,RE
60,aktau,43.65,51.2,27.32,39,5,5.05,KZ
61,ponta do sol,32.6667,-17.1,22.84,76,27,3.03,PT
62,cap malheureux,-19.9842,57.6142,25.82,61,22,4.47,MU
63,nishihara,26.1842,127.7558,29.28,82,75,5.14,JP
64,banda aceh,5.5577,95.3222,29.37,67,100,3.52,ID
65,zhuhai,22.2769,113.5678,32.84,70,20,6.69,CN
66,bastos,-21.9219,-50.7339,21.59,81,64,2.4,BR
67,northam,51.0333,-4.2167,15.19,98,2,0.78,GB
68,magadan,59.5667,150.8,8.69,85,11,1.86,RU
69,castro,-24.7911,-50.0119,16.13,95,36,0.41,BR
70,manggar,-2.8833,108.2667,28.77,69,58,2.57,ID
71,zadonsk,52.3904,38.9261,14.08,41,52,6.95,RU
72,pandan,14.0453,124.1694,29.11,75,56,2.89,PH
73,provideniya,64.3833,-173.3,5.23,79,100,2.96,RU
74,pathein,16.7833,94.7333,30.06,71,86,4.29,MM
75,aswan,24.0934,32.907,37.13,20,5,6.02,EG
76,west bay,19.3667,-81.4167,27.57,83,100,0.89,KY
77,tuatapere,-46.1333,167.6833,8.23,78,56,3.94,NZ
78,erenhot,43.6475,111.9767,19.76,54,100,4.57,CN
79,sorland,67.667,12.6934,8.92,65,100,4.46,NO
80,qaanaaq,77.484,-69.3632,-10.08,89,41,3.59,GL
81,marsh harbour,26.5412,-77.0636,27.24,71,6,2.69,BS
82,souillac,-20.5167,57.5167,25.76,65,18,5.68,MU
83,waverly,42.7392,-84.6208,16.44,93,1,2.06,US
84,kryve ozero,47.9524,30.3493,20.85,52,12,2.74,UA
85,bathsheba,13.2167,-59.5167,28.34,78,40,6.69,BB
86,namwala,-15.7504,26.4384,30.25,21,83,3.84,ZM
87,margate,51.3813,1.3862,16.16,84,97,5.79,GB
88,tagusao,9.1924,117.8141,29.25,70,49,2.37,PH
89,port alfred,-33.5906,26.891,17.42,61,100,9.13,ZA
90,faanui,-16.4833,-151.75,26.13,72,4,8.96,PF
91,karmana,,,,,,,
92,tandil,-37.3217,-59.1332,4.61,85,0,0.45,AR
93,skalistyy,,,,,,,
94,yulara,-25.2406,130.9889,32.91,9,60,4.12,AU
95,vaini,-21.2,-175.2,23.09,100,20,1.54,TO
96,noumea,-22.2763,166.4572,19.99,93,100,7,NC
97,ankazoabo,-22.2833,44.5167,32.44,25,0,3,MG
98,soyaltepec,,,,,,,
99,calama,-22.4667,-68.9333,7.73,35,76,2.19,CL
100,muzhi,65.3667,64.6667,7.92,78,100,1.99,RU
101,mys shmidta,,,,,,,
102,ketchikan,55.3422,-131.6461,9.26,93,90,1.54,US
103,ucluelet,48.9329,-125.5528,13.91,86,69,4.14,CA
